Node,U2,Normal Stress,Von-Mises Stress
0.166000366,-3.19862E-05,-4684460.5,4684731
0.166999817,-3.23102E-05,-4628315,4628588
0.168000221,-3.26355E-05,-4572178,4572454.5
0.168999672,-3.29615E-05,-4516050,4516330
0.170000076,-3.32886E-05,-4459931,4460214
0.170999527,-3.36164E-05,-4403821,4404107
0.171999931,-3.39454E-05,-4347706,4347996
0.173000336,-3.42752E-05,-4291600.5,4291893.5
0.173999786,-3.46057E-05,-4235517,4235813.5
0.175000191,-3.49373E-05,-4179442.25,4179742.5
0.175999641,-3.52694E-05,-4123376,4123680
0.177000046,-3.56027E-05,-4067305,4067613
0.17800045,-3.59368E-05,-4011243.25,4011555
0.178999901,-3.62714E-05,-3955203.5,3955519
0.180000305,-3.66072E-05,-3899172,3899492
0.180999756,-3.69434E-05,-3843149.5,3843474
0.18200016,-3.72807E-05,-3787136,3787464.5
0.182999611,-3.76185E-05,-3731130.75,3731464
0.184000015,-3.79574E-05,-3675121,3675458.75
0.18500042,-3.8297E-05,-3619120,3619462.5
0.18599987,-3.8637E-05,-3563141,3563488.75
0.187000275,-3.89781E-05,-3507170.75,3507523.5
0.187999725,-3.93195E-05,-3451209.25,3451567.5
0.18900013,-3.9662E-05,-3395257,3395620.75
0.18999958,-4.00049E-05,-3339314,3339683.5
0.190999985,-4.03487E-05,-3283367,3283742
0.192000389,-4.06933E-05,-3227429.5,3227810.5
0.19299984,-4.10381E-05,-3171515.5,3171903
0.194000244,-4.1384E-05,-3115612,3116005.75
0.194999695,-4.17301E-05,-3059719.25,3060119.75
0.196000099,-4.20772E-05,-3003838.25,3004245.5
0.19699955,-4.24246E-05,-2947970,2948384.25
0.197999954,-4.27729E-05,-2892102,2892523.5
0.199000359,-4.31218E-05,-2836248.75,2836678
0.199999809,-4.3471E-05,-2780425.5,2780862.5
0.201000214,-4.3821E-05,-2724620.5,2725065.5
0.201999664,-4.41713E-05,-2668836,2669289.5
0.203000069,-4.45224E-05,-2613061.5,2613523.5
0.204000473,-4.48741E-05,-2557313.75,2557784.25
0.204999924,-4.52259E-05,-2501609.5,2502089.25
0.206000328,-4.55786E-05,-2445940,2446429
0.206999779,-4.59315E-05,-2390311,2390809.75
0.208000183,-4.62852E-05,-2334728.75,2335236.75
0.208999634,-4.6639E-05,-2279200.5,2279718.75
0.210000038,-4.69936E-05,-2223721.5,2224249.5
0.211000443,-4.73487E-05,-2168315.5,2168854.25
0.211999893,-4.77039E-05,-2113007,2113555.5
0.213000298,-4.80598E-05,-2057796.75,2058356.75
0.213999748,-4.84158E-05,-2002700.75,2003270
0.215000153,-4.87726E-05,-1947737,1948318
0.215999603,-4.91294E-05,-1892926.5,1893516.25
0.217000008,-4.9487E-05,-1838280.25,1838881.625
0.218000412,-4.98449E-05,-1783838.75,1784447.75
0.218999863,-5.02028E-05,-1729646.75,1730267.25
0.220000267,-5.05614E-05,-1675726.5,1676352.25
0.220999718,-5.09201E-05,-1622119.25,1622755.75
0.222000122,-5.12794E-05,-1568870.25,1569509
0.222999573,-5.16386E-05,-1516031.75,1516680
0.223999977,-5.19985E-05,-1463648.75,1464294.5
0.225000381,-5.23587E-05,-1411799.875,1412453.125
0.225999832,-5.27189E-05,-1360569.625,1361213
0.227000237,-5.30797E-05,-1310026.625,1310675
0.227999687,-5.34404E-05,-1260260.5,1260889
0.229000092,-5.38017E-05,-1211370.25,1212000.25
0.229999542,-5.41629E-05,-1163464,1164060.125
0.230999947,-5.45247E-05,-1116649.25,1117243.625
0.232000351,-5.48867E-05,-1071065.25,1071606.5
0.232999802,-5.52486E-05,-1026860.313,1027397.875
0.234000206,-5.56112E-05,-984170.125,984628.5
0.234999657,-5.59736E-05,-943146.625,943605.125
0.236000061,-5.63366E-05,-903941.4375,904285.875
0.237000465,-5.66998E-05,-866716.0625,867078.375
0.237999916,-5.7063E-05,-831638.1875,831838.125
0.23900032,-5.74268E-05,-798818.25,799086.625
0.239999771,-5.77906E-05,-768372,768407.625
0.241000175,-5.8155E-05,-740297.4375,740530.4375
0.241999626,-5.85196E-05,-714568,714448.375
0.243000031,-5.88847E-05,-690794.875,691207.3125
0.244000435,-5.92507E-05,-668525.75,668325.875
0.244999886,-5.96166E-05,-646060.375,647435.5
0.24600029,-5.99841E-05,-621486.0625,621527.625
0.246999741,-6.03517E-05,-586638.625,593554.6875
0.248000145,-6.07222E-05,-532753.25,536219.9375
0.248999596,-6.10928E-05,-367595.2188,531902
0.25,-6.14727E-05,-234344.375,575254.375
