Node,U2,Normal Stress,Von-Mises Stress
1.291999817,-0.016790317,-40679312,40679480
1.293998718,-0.0168346,-40558172,40558344
1.296001434,-0.016879,-40437008,40437180
1.298000336,-0.016923349,-40315944,40316112
1.299999237,-0.016967734,-40194968,40195140
1.301998138,-0.017012151,-40073968,40074140
1.304000854,-0.017056689,-39952944,39953120
1.305999756,-0.017101172,-39832016,39832192
1.307998657,-0.017145688,-39711124,39711296
1.310001373,-0.017190324,-39590208,39590384
1.312000275,-0.017234907,-39469392,39469560
1.313999176,-0.017279522,-39348600,39348776
1.316001892,-0.017324256,-39227792,39227968
1.318000793,-0.017368937,-39107080,39107252
1.319999695,-0.01741365,-38986456,38986632
1.321998596,-0.017458396,-38865812,38865984
1.324001312,-0.01750326,-38745144,38745320
1.326000214,-0.017548071,-38624576,38624752
1.327999115,-0.017592914,-38504032,38504208
1.330001831,-0.017637875,-38383472,38383648
1.332000732,-0.017682781,-38263004,38263180
1.333999634,-0.017727721,-38142632,38142808
1.335998535,-0.017772691,-38022232,38022408
1.338001251,-0.017817782,-37901808,37901984
1.340000153,-0.017862815,-37781480,37781656
1.341999054,-0.017907882,-37661184,37661364
1.34400177,-0.017953064,-37540872,37541056
1.346000671,-0.017998192,-37420656,37420832
1.347999573,-0.01804335,-37300524,37300704
1.349998474,-0.018088542,-37180372,37180552
1.35200119,-0.018133849,-37060200,37060380
1.354000092,-0.0181791,-36940120,36940304
1.355998993,-0.018224383,-36820080,36820256
1.358001709,-0.018269783,-36700012,36700192
1.36000061,-0.018315127,-36580040,36580216
1.361999512,-0.018360501,-36460156,36460336
1.363998413,-0.018405907,-36340252,36340432
1.366001129,-0.018451428,-36220328,36220512
1.368000031,-0.018496893,-36100496,36100680
1.369998932,-0.018542388,-35980700,35980884
1.372001648,-0.018588001,-35860880,35861064
1.374000549,-0.018633556,-35741152,35741336
1.375999451,-0.018679144,-35621512,35621696
1.377998352,-0.018724758,-35501856,35502040
1.380001068,-0.018770488,-35382180,35382364
1.381999969,-0.018816162,-35262596,35262780
1.383998871,-0.018861866,-35143044,35143232
1.386001587,-0.018907685,-35023472,35023660
1.388000488,-0.018953446,-34903992,34904184
1.38999939,-0.018999238,-34784608,34784796
1.391998291,-0.019045057,-34665200,34665384
1.394001007,-0.019090991,-34545768,34545956
1.395999908,-0.019136868,-34426432,34426620
1.39799881,-0.019182775,-34307128,34307316
1.400001526,-0.019228797,-34187804,34187992
1.402000427,-0.01927476,-34068572,34068760
1.403999329,-0.019320751,-33949432,33949624
1.40599823,-0.019366771,-33830268,33830460
1.408000946,-0.019412905,-33711088,33711280
1.409999847,-0.019458981,-33591996,33592188
1.411998749,-0.019505085,-33472938,33473132
1.414001465,-0.019551307,-33353858,33354052
1.416000366,-0.019597465,-33234872,33235066
1.417999268,-0.019643653,-33115980,33116172
1.419998169,-0.019689867,-32997064,32997260
1.422000885,-0.019736197,-32878128,32878324
1.423999786,-0.019782467,-32759284,32759480
1.425998688,-0.019828763,-32640476,32640672
1.428001404,-0.019875176,-32521648,32521844
1.430000305,-0.019921526,-32402910,32403108
1.431999207,-0.019967904,-32284264,32284462
1.433998108,-0.02001431,-32165596,32165794
1.436000824,-0.02006083,-32046908,32047104
1.437999725,-0.020107288,-31928312,31928510
1.439998627,-0.020153772,-31809748,31809948
1.442001343,-0.020200374,-31691168,31691368
1.444000244,-0.02024691,-31572678,31572878
1.445999146,-0.020293474,-31454220,31454420
1.448001862,-0.020340156,-31335740,31335942
1.450000763,-0.020386772,-31217356,31217556
1.451999664,-0.020433415,-31099062,31099264
1.453998566,-0.020480083,-30980748,30980950
1.456001282,-0.020526865,-30862412,30862616
1.458000183,-0.020573586,-30744170,30744374
1.459999084,-0.020620331,-30625960,30626166
1.462001801,-0.020667192,-30507732,30507938
1.464000702,-0.020713987,-30389596,30389802
1.465999603,-0.02076081,-30271550,30271756
1.467998505,-0.020807656,-30153482,30153688
1.470001221,-0.020854617,-30035394,30035602
1.472000122,-0.020901514,-29917400,29917608
1.473999023,-0.020948436,-29799436,29799646
1.47600174,-0.020995472,-29681456,29681664
1.478000641,-0.021042444,-29563566,29563776
1.479999542,-0.021089438,-29445768,29445976
1.481998444,-0.021136459,-29327944,29328156
1.48400116,-0.021183597,-29210102,29210314
1.486000061,-0.021230666,-29092352,29092564
1.487998962,-0.021277759,-28974636,28974850
1.490001678,-0.021324966,-28856904,28857116
1.49200058,-0.021372108,-28739260,28739476
1.493999481,-0.021419274,-28621708,28621924
1.495998383,-0.021466464,-28504136,28504352
1.498001099,-0.021513766,-28386544,28386760
1.5,-0.021561002,-28269042,28269260
1.501998901,-0.021608263,-28151576,28151792
1.504001617,-0.021655638,-28034088,28034306
1.506000519,-0.021702945,-27916692,27916912
1.50799942,-0.021750275,-27799388,27799608
1.509998322,-0.021797629,-27682060,27682280
1.512001038,-0.021845095,-27564716,27564936
1.513999939,-0.021892495,-27447462,27447684
1.51599884,-0.021939917,-27330240,27330464
1.518001556,-0.021987455,-27212998,27213220
1.520000458,-0.022034923,-27095848,27096072
1.521999359,-0.022082413,-26978790,26979014
1.52399826,-0.022129925,-26861712,26861936
1.526000977,-0.022177551,-26744612,26744840
1.527999878,-0.022225108,-26627608,26627832
1.529998779,-0.022272689,-26510634,26510860
1.532001495,-0.02232038,-26393640,26393868
1.534000397,-0.022368005,-26276740,26276968
1.535999298,-0.022415651,-26159930,26160160
1.537998199,-0.022463318,-26043100,26043330
1.540000916,-0.022511097,-25926248,25926480
1.541999817,-0.022558808,-25809488,25809720
1.543998718,-0.02260654,-25692762,25692996
1.546001434,-0.022654384,-25576016,25576252
1.548000336,-0.022702159,-25459364,25459596
1.549999237,-0.022749955,-25342800,25343034
1.551998138,-0.022797773,-25226212,25226448
1.554000854,-0.022845704,-25109608,25109844
1.555999756,-0.022893563,-24993094,24993332
1.557998657,-0.022941442,-24876616,24876852
1.560001373,-0.022989435,-24760116,24760356
1.562000275,-0.023037355,-24643712,24643952
1.563999176,-0.023085298,-24527338,24527580
1.566001892,-0.023133351,-24410946,24411188
1.568000793,-0.023181334,-24294646,24294888
1.569999695,-0.023229336,-24178436,24178680
1.571998596,-0.023277359,-24062204,24062448
1.574001312,-0.023325494,-23945954,23946200
1.576000214,-0.023373555,-23829794,23830040
1.577999115,-0.02342164,-23713668,23713916
1.580001831,-0.023469834,-23597524,23597772
1.582000732,-0.023517955,-23481472,23481720
1.583999634,-0.023566097,-23365508,23365756
1.585998535,-0.023614258,-23249522,23249772
1.588001251,-0.023662532,-23133516,23133768
1.590000153,-0.023710731,-23017602,23017856
1.591999054,-0.02375895,-22901724,22901978
1.59400177,-0.02380728,-22785828,22786082
1.596000671,-0.023855537,-22670020,22670276
1.597999573,-0.023903813,-22554304,22554560
1.599998474,-0.023952108,-22438568,22438824
1.60200119,-0.024000512,-22322812,22323072
1.604000092,-0.024048844,-22207148,22207408
1.605998993,-0.024097195,-22091516,22091776
1.608001709,-0.024145655,-21975868,21976128
1.61000061,-0.024194043,-21860308,21860572
1.611999512,-0.024242448,-21744838,21745102
1.613998413,-0.024290871,-21629348,21629612
1.616001129,-0.024339404,-21513840,21514106
1.618000031,-0.024387864,-21398424,21398690
1.619998932,-0.024436342,-21283040,21283308
1.622001648,-0.024484929,-21167636,21167906
1.624000549,-0.024533441,-21052324,21052594
1.625999451,-0.024581973,-20937098,20937370
1.627998352,-0.02463052,-20821854,20822128
1.630001068,-0.024679177,-20706592,20706868
1.631999969,-0.02472776,-20591422,20591696
1.633998871,-0.024776358,-20476284,20476562
1.636001587,-0.024825066,-20361130,20361408
1.638000488,-0.0248737,-20246066,20246344
1.63999939,-0.02492235,-20131092,20131372
1.641998291,-0.024971018,-20016096,20016376
1.644001007,-0.025019793,-19901080,19901364
1.645999908,-0.025068494,-19786158,19786442
1.64799881,-0.025117209,-19671268,19671554
1.650001526,-0.025166035,-19556360,19556648
1.652000427,-0.025214784,-19441544,19441832
1.653999329,-0.02526355,-19326816,19327104
1.65599823,-0.025312331,-19212068,19212358
1.658000946,-0.025361221,-19097300,19097592
1.659999847,-0.025410034,-18982624,18982916
1.661998749,-0.025458863,-18867980,18868276
1.664001465,-0.025507804,-18753318,18753616
1.666000366,-0.025556665,-18638746,18639044
1.667999268,-0.025605541,-18524264,18524564
1.669998169,-0.025654431,-18409764,18410064
1.672000885,-0.025703432,-18295244,18295548
1.673999786,-0.025752353,-18180816,18181120
1.675998688,-0.02580129,-18066420,18066724
1.678001404,-0.025850335,-17952008,17952314
1.680000305,-0.025899302,-17837684,17837992
1.681999207,-0.025948284,-17723450,17723760
1.683998108,-0.025997281,-17609196,17609508
1.686000824,-0.026046386,-17494924,17495238
1.687999725,-0.026095413,-17380744,17381058
1.689998627,-0.026144452,-17266596,17266912
1.692001343,-0.0261936,-17152428,17152748
1.694000244,-0.02624267,-17038354,17038674
1.695999146,-0.026291752,-16924312,16924632
1.698001862,-0.026340947,-16810248,16810572
1.700000763,-0.026390057,-16696276,16696602
1.701999664,-0.026439182,-16582395,16582722
1.703998566,-0.026488321,-16468494,16468824
1.706001282,-0.026537567,-16354576,16354907
1.708000183,-0.026586734,-16240747,16241080
1.709999084,-0.026635913,-16126952,16127288
1.712001801,-0.026685201,-16013140,16013477
1.714000702,-0.026734408,-15899417,15899756
1.715999603,-0.026783627,-15785783,15786124
1.717998505,-0.02683286,-15672130,15672473
1.720001221,-0.0268822,-15558458,15558804
1.722000122,-0.026931459,-15444877,15445224
1.723999023,-0.026980732,-15331330,15331679
1.72600174,-0.027030108,-15217764,15218116
1.728000641,-0.027079407,-15104288,15104642
1.729999542,-0.027128717,-14990902,14991258
1.731998444,-0.02717804,-14877494,14877852
1.73400116,-0.027227471,-14764068,14764428
